fold,classifier,best_params,auc_ovr,balanced_accuracy,f1_macro
1,rf,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.5729487483218826,0.35185185185185186,0.2807017543859649
1,svm,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.4717399397569973,0.44331065759637184,0.3402475845410628
1,logreg,{'C': 0.01},0.619205559504067,0.37339380196523053,0.3455988455988456
2,rf,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",0.5867572567999008,0.33144368858654577,0.26764346764346764
2,svm,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.5549886621315193,0.31708238851095993,0.3108418763591177
2,logreg,{'C': 0.1},0.5452471204070352,0.34429327286470146,0.3384452584452584
3,rf,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.5297604945792579,0.3382464096749811,0.2727716727716728
3,svm,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.5135800588892273,0.3310657596371882,0.31180550555595554
3,logreg,{'C': 0.01},0.5557416996649406,0.3628117913832199,0.35882829834442737
4,rf,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.6029870488825713,0.3450491307634165,0.27751196172248804
4,svm,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.583248722374522,0.40287226001511717,0.4014245014245014
4,logreg,{'C': 1},0.5867290531469637,0.37452758881330306,0.366991341991342
5,rf,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",0.6254507230300532,0.3393357342937175,0.27611336032388667
5,svm,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6531763021448448,0.4773020319238807,0.4224768246507377
5,logreg,{'C': 10},0.6492976264831276,0.45976168245075805,0.4665499290751261
